_id.buffer.0,_id.buffer.1,_id.buffer.2,_id.buffer.3,_id.buffer.4,_id.buffer.5,_id.buffer.6,_id.buffer.7,_id.buffer.8,_id.buffer.9,_id.buffer.10,_id.buffer.11,sessionId.buffer.0,sessionId.buffer.1,sessionId.buffer.2,sessionId.buffer.3,sessionId.buffer.4,sessionId.buffer.5,sessionId.buffer.6,sessionId.buffer.7,sessionId.buffer.8,sessionId.buffer.9,sessionId.buffer.10,sessionId.buffer.11,timestamp,engineTemp,fuelTrimShortB1,fuelTrimLongB1,maf,map,o2B1S1Voltage,o2B1S2Voltage,o2B2S1Voltage,o2B2S2Voltage,egtBank1,egtBank2,dataQuality,isInterpolated,__v,createdAt,updatedAt,rpm,throttlePosition,speed,intakeTemp,ambientTemp,engineLoad,absoluteLoad,relativeThrottlePosition,fuelLevel,fuelRate,fuelPressure,fuelRailPressure,fuelRailPressureDirect,fuelTrimShortB2,fuelTrimLongB2,ethanolFuelPercent,barometricPressure,vaporPressure,batteryVoltage,o2B1S3Voltage,o2B1S4Voltage,o2B2S3Voltage,o2B2S4Voltage,o2B1S1WR,o2B1S2WR,o2B1S3WR,o2B1S4WR,o2B2S1WR,o2B2S2WR,o2B2S3WR,o2B2S4WR,timingAdvance,egrError,commandedEGR,secondaryAirStatus,vvtB1,vvtB2,runtime,distanceMIL,distanceClear,catalystTempB1S1,catalystTempB1S2,catalystTempB2S1,catalystTempB2S2,acceleratorPosD,acceleratorPosE,acceleratorPosF,turboPressureA,turboPressureB,chargeAirCoolerTemp,dpfTemperature,dpfPressure,shortTermSecondaryO2B1,longTermSecondaryO2B1,shortTermSecondaryO2B2,longTermSecondaryO2B2,fuelSystemStatus,fuelType
105,182,21,136,34,229,49,111,208,127,145,106,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:23.161Z,192.2,-1.5625,-6.25,5.25,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.106Z,2026-03-15T02:12:24.106Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,107,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:23.311Z,192.2,-1.5625,-6.25,5.25,51,0.07,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.107Z,2026-03-15T02:12:24.107Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,108,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:23.311Z,192.2,-1.5625,-6.25,5.25,51,0.1,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.107Z,2026-03-15T02:12:24.107Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,109,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:23.404Z,192.2,-1.5625,-6.25,5.25,51,0.1,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.107Z,2026-03-15T02:12:24.107Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,136,34,229,49,111,208,127,145,110,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:24.031Z,192.2,-1.5625,-6.25,5.25,51,0.1,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:24.107Z,2026-03-15T02:12:24.107Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,137,34,229,49,111,208,127,145,128,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:24.032Z,192.2,-1.5625,-6.25,5.25,51,0.1,0.58,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:25.121Z,2026-03-15T02:12:25.121Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,137,34,229,49,111,208,127,145,129,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:24.212Z,192.2,-1.5625,-6.25,5.25,51,0.1,0.67,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:25.122Z,2026-03-15T02:12:25.122Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,137,34,229,49,111,208,127,145,130,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:24.340Z,192.2,-1.5625,-6.25,5.25,51,0.1,0.67,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:25.122Z,2026-03-15T02:12:25.122Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,137,34,229,49,111,208,127,145,131,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:24.340Z,192.2,-1.5625,-6.25,5.25,51,0.1,0.66,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:25.122Z,2026-03-15T02:12:25.122Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,182,21,141,34,229,49,111,208,127,145,244,105,181,120,134,139,207,128,147,213,249,71,71,2026-03-15T02:12:25.021Z,192.2,3.90625,-6.25,5.25,51,0.1,0.66,0.79,0.725,[],[],100,false,0,2026-03-15T02:12:29.658Z,2026-03-15T02:12:29.658Z,616.5,20.784313725490197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
